Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.19124645,0.06911940,0.11747728,0.25603954,0.00992126,1.00000000,0.00000000,0.00000000,0.35484574,0.44525718,0.38424866,0.31271884,0.29204625,0.39168162,0.27387587,0.31232964,0.67624349,0.74892725,0.13474399,0.48506605,0.24766268,0.46254257,0.38913686,0.32451133,0.14415215,0.71006915,0.64550995,0.41284242,-1,-1,-1,-1
0.22760026,0.02241679,0.17048357,0.26947474,0.05622194,1.00000000,0.00000000,0.00000000,0.38291905,0.44084049,0.38902167,0.32343451,0.32801898,0.40295526,0.29222469,0.30689596,0.67222998,0.74274223,0.13240051,0.47220444,0.24459572,0.47220141,0.39130153,0.30688922,0.15710407,0.64936157,0.64828317,0.41226162,-1,-1,-1,-1
0.19715849,0.01659272,0.09018762,0.25640043,0.07161065,0.83333333,0.25000000,0.50000000,0.28546975,0.42313408,0.38670503,0.32980433,0.27260433,0.40339618,0.28758665,0.30179967,0.66936498,0.74682742,0.12856816,0.44768032,0.25931423,0.46305807,0.38473751,0.29627005,0.16203419,0.63951487,0.61801531,0.39822619,-1,-1,-1,-1
0.14294510,0.05295545,0.07380594,0.15759093,0.05031645,0.83333333,0.50000000,0.00000000,0.25481051,0.53474437,0.43053774,0.37625333,0.26752858,0.48621201,0.32361721,0.35004664,0.66637701,0.77118823,0.14402967,0.48503596,0.29313445,0.51160489,0.43083325,0.28602313,0.18741014,0.63293179,0.61295624,0.38310026,-1,-1,-1,-1
0.13994816,0.04910539,0.12228600,0.13844793,0.04241672,0.66666667,0.50000000,0.00000000,0.19040340,0.56360996,0.39578712,0.33784154,0.22750025,0.49797886,0.25491872,0.34409394,0.68596466,0.81135480,0.12149404,0.46510022,0.28050763,0.51116500,0.39984039,0.30502947,0.21390232,0.64225035,0.58053680,0.35616313,-1,-1,-1,-1
0.12333063,0.07045342,0.10568457,0.13691321,0.02474349,0.83333333,0.50000000,0.00000000,0.26943997,0.60285874,0.44484468,0.38321813,0.28225071,0.50455672,0.30213154,0.38085007,0.69718927,0.82467137,0.12086769,0.46806776,0.28496415,0.50019448,0.39812466,0.31048906,0.25756103,0.62025325,0.58187323,0.35405977,-1,-1,-1,-1
0.05636776,0.01547362,0.05282454,0.05893868,0.02996989,0.83333333,0.25000000,0.50000000,0.31875137,0.56981976,0.45318815,0.40205754,0.32020669,0.48160032,0.32260326,0.36681437,0.66884445,0.76069932,0.11313388,0.41925305,0.26513216,0.46172358,0.36087449,0.30981307,0.27830734,0.59775262,0.57704846,0.38816812,-1,-1,-1,-1
0.04300824,0.00159087,0.02780911,0.06126582,0.04195206,0.83333333,0.25000000,0.50000000,0.34670696,0.51320942,0.47047506,0.42734062,0.32044975,0.42651087,0.37498845,0.38266950,0.63665530,0.69947733,0.11920973,0.40943814,0.26773768,0.43148000,0.36372468,0.28586844,0.29217295,0.58322162,0.56102637,0.39668664,-1,-1,-1,-1
0.05490929,0.01687978,0.06891728,0.04642440,0.05286981,0.66666667,0.25000000,0.50000000,0.35133416,0.57099209,0.45728579,0.40925356,0.30807519,0.45581741,0.34878481,0.41697952,0.64066094,0.70743378,0.13666073,0.44169453,0.28330612,0.46977274,0.40452758,0.26827673,0.33421754,0.54901108,0.56759647,0.41280459,-1,-1,-1,-1
0.08838394,0.02602598,0.10129671,0.08620119,0.03921724,0.66666667,0.25000000,0.50000000,0.35676689,0.53857966,0.44225378,0.38701066,0.29270619,0.43319480,0.33128940,0.36876752,0.67525685,0.74385031,0.11168337,0.43996502,0.27526326,0.46379727,0.38556918,0.27109710,0.29350826,0.59018075,0.58773536,0.43914303,-1,-1,-1,-1
0.07653788,0.04124424,0.06129267,0.10205960,0.02290014,0.66666667,0.50000000,0.00000000,0.37998053,0.62466125,0.48513386,0.42126434,0.31340988,0.50508000,0.37322682,0.42989445,0.70306604,0.79267987,0.12806658,0.43073791,0.31182066,0.43660286,0.39087915,0.27712473,0.31681357,0.58114826,0.60877226,0.46396820,-1,-1,-1,-1
0.03851552,0.00750382,0.00530558,0.07570898,0.02862659,0.66666667,0.25000000,0.50000000,0.42921645,0.59367222,0.52637860,0.45173721,0.35926390,0.51489554,0.42459907,0.40342590,0.75427311,0.81027293,0.14483775,0.43171948,0.31393665,0.40924344,0.37646376,0.31773767,0.27764745,0.58911329,0.65200537,0.50601065,-1,-1,-1,-1
0.04628679,0.01748733,0.04041917,0.04329582,0.05665096,0.50000000,0.00000000,0.00000000,0.45569923,0.64004016,0.57312751,0.48953727,0.38449549,0.55145406,0.45805022,0.44394744,0.79422497,0.85274883,0.18826970,0.44501621,0.34105137,0.40306505,0.39539246,0.35470570,0.28390569,0.56496208,0.68572671,0.54156862,-1,-1,-1,-1
0.06767486,0.00989118,0.05071270,0.07518714,0.04962897,0.66666667,0.25000000,0.50000000,0.50907151,0.69106006,0.57609804,0.48108940,0.42014118,0.59703945,0.44775802,0.45543692,0.83280012,0.87548660,0.20328143,0.50524707,0.36070213,0.46593405,0.43609642,0.38224210,0.22251932,0.61353039,0.76115364,0.62123113,-1,-1,-1,-1
0.04581762,0.03797050,0.03466083,0.06301938,0.02008751,0.83333333,0.25000000,0.50000000,0.46150562,0.70188069,0.55182925,0.46913802,0.39234503,0.57361756,0.40681920,0.48833228,0.77001926,0.85977754,0.17469175,0.43968591,0.32646122,0.41794510,0.39357857,0.34135901,0.24552671,0.63114817,0.72955867,0.59862036,-1,-1,-1,-1
0.03808709,0.02803933,0.06674056,0.00141648,0.03331130,1.00000000,0.00000000,0.00000000,0.39652974,0.61427797,0.48270556,0.40753507,0.34783935,0.50390335,0.33303739,0.45784053,0.71689617,0.80235732,0.14500591,0.39374378,0.27105162,0.36344350,0.34358182,0.31440733,0.21972453,0.68272103,0.70061781,0.56820852,-1,-1,-1,-1
0.05372307,0.00795228,0.06904956,0.03863499,0.03304897,1.00000000,0.00000000,0.00000000,0.33045499,0.53035654,0.46029324,0.40405911,0.32189489,0.44322533,0.30935839,0.41396240,0.63291547,0.72278167,0.10843199,0.33933833,0.18147634,0.30886120,0.28121912,0.27868299,0.21500610,0.66582145,0.64818566,0.48382671,-1,-1,-1,-1
0.21074970,0.20967951,0.26002951,0.07822456,0.00801309,1.00000000,0.00000000,0.00000000,0.29869487,0.46358066,0.44126809,0.39361750,0.30290242,0.41445051,0.30846480,0.38484398,0.58949369,0.62850277,0.11711887,0.39850754,0.18510626,0.36970188,0.32249420,0.28246666,0.15113386,0.69740920,0.64885742,0.44272550,-1,-1,-1,-1
0.29200586,0.10529225,0.32711960,0.15861942,0.02352162,1.00000000,0.00000000,0.00000000,0.28597851,0.46784257,0.45288635,0.41731328,0.31402315,0.41920305,0.33853134,0.41648584,0.55694693,0.59924735,0.14685979,0.42147552,0.18052312,0.41125922,0.34043317,0.30966553,0.14315891,0.69091021,0.60300706,0.38473068,-1,-1,-1,-1
0.14336095,0.08556915,0.14511539,0.13883018,0.04247899,1.00000000,0.00000000,0.00000000,0.26605877,0.41912908,0.44499256,0.40909566,0.29655912,0.38361056,0.32445934,0.41377203,0.53858303,0.56089490,0.18717122,0.42142381,0.21011720,0.42237884,0.36804876,0.31471900,0.16280703,0.70269875,0.55305055,0.35582457,-1,-1,-1,-1
0.17793823,0.12998951,0.21148743,0.11984689,0.03658922,1.00000000,0.00000000,0.00000000,0.28467397,0.44013326,0.45528780,0.41113532,0.32346463,0.39238252,0.31366345,0.43183400,0.56940698,0.59535749,0.19821677,0.40761048,0.24183149,0.39985524,0.37284969,0.31035923,0.20091770,0.67473844,0.53423338,0.37760729,-1,-1,-1,-1
0.19692241,0.10560112,0.21851481,0.16087552,0.01818760,1.00000000,0.00000000,0.00000000,0.31565985,0.46535975,0.44594556,0.39335079,0.33804376,0.43048218,0.30182429,0.42969669,0.58621860,0.61201701,0.17097766,0.39292112,0.25679905,0.38927083,0.37240076,0.27859558,0.23494498,0.64286806,0.57408094,0.42733944,-1,-1,-1,-1
0.09699449,0.02267508,0.12048461,0.06625470,0.01309722,0.83333333,0.25000000,0.50000000,0.35159719,0.51018470,0.44215802,0.38340641,0.35278533,0.47982588,0.32015522,0.45777162,0.63225090,0.67485762,0.14685353,0.39787748,0.25731031,0.37609479,0.35681781,0.28750231,0.23006446,0.62795352,0.61441006,0.45467635,-1,-1,-1,-1
0.07955262,0.00026805,0.08123877,0.06786784,0.01952426,0.66666667,0.25000000,0.50000000,0.32973606,0.51799267,0.40309243,0.35370131,0.33833021,0.51008279,0.29852593,0.42687678,0.64195918,0.68879108,0.15833398,0.40035268,0.23648133,0.39720134,0.35493175,0.30605602,0.22403415,0.65257277,0.61772971,0.44518764,-1,-1,-1,-1
0.06586128,0.01785689,0.03735627,0.11052358,0.00867197,0.66666667,0.25000000,0.50000000,0.30397348,0.48324369,0.40003508,0.36090823,0.31422310,0.48376746,0.32101587,0.42065409,0.64139619,0.68004829,0.18959127,0.45293624,0.26713553,0.46969855,0.41657582,0.30097414,0.22185953,0.64572098,0.61826322,0.41512169,-1,-1,-1,-1
0.10210559,0.06441883,0.11910445,0.06725732,0.00871103,0.66666667,0.50000000,0.00000000,0.28774802,0.48329771,0.40371343,0.37392110,0.31808842,0.45881141,0.32492897,0.41417279,0.64468767,0.66813222,0.19989846,0.49302071,0.25832519,0.52975728,0.44880643,0.30132409,0.20605632,0.62576495,0.62181105,0.35215405,-1,-1,-1,-1
0.17811056,0.03312431,0.23712197,0.03866866,0.02343489,0.83333333,0.50000000,0.00000000,0.29349059,0.44047181,0.41385780,0.38734253,0.31831457,0.41041919,0.34620205,0.39920589,0.63025486,0.64518976,0.18377253,0.50375595,0.23130345,0.53785195,0.44496837,0.28722260,0.17442106,0.59259660,0.62574584,0.29257458,-1,-1,-1,-1
0.12213450,0.10503501,0.13976572,0.05630157,0.03129731,0.66666667,0.50000000,0.00000000,0.30081143,0.46603434,0.41488327,0.38585891,0.33269680,0.41332513,0.32925439,0.38426592,0.63342470,0.63895864,0.15839155,0.47631467,0.18505964,0.49901244,0.40230198,0.28374338,0.14517199,0.59609712,0.61825868,0.25133039,-1,-1,-1,-1
0.06403264,0.03039337,0.05441621,0.08735983,0.02401120,0.66666667,0.25000000,0.50000000,0.29270710,0.45903655,0.41529317,0.38740193,0.32764775,0.41645588,0.32784328,0.37402433,0.61724694,0.61738274,0.14596311,0.46360378,0.17383183,0.46734609,0.38343967,0.27459697,0.15216525,0.60219636,0.61046659,0.26238393,-1,-1,-1,-1
0.15397861,0.08505933,0.13070681,0.18445313,0.02631701,0.66666667,0.25000000,0.50000000,0.29336673,0.43099631,0.42976484,0.39651335,0.32329162,0.41952846,0.32836241,0.38475476,0.59181246,0.61611444,0.14695320,0.42628524,0.18309960,0.41662380,0.35826529,0.27878521,0.13824168,0.63869149,0.63284648,0.28285935,-1,-1,-1,-1
0.13731751,0.10646332,0.08871819,0.18685335,0.01977082,0.83333333,0.25000000,0.50000000,0.33457218,0.39048016,0.44908800,0.40969129,0.34231020,0.41183508,0.35754208,0.39164893,0.56430778,0.59476111,0.17514605,0.40748265,0.21634721,0.39308847,0.36658807,0.28174657,0.09138885,0.70325813,0.63004189,0.34348528,-1,-1,-1,-1
0.05412332,0.00031559,0.03258377,0.08639293,0.02572754,1.00000000,0.00000000,0.00000000,0.41796724,0.43131873,0.54238040,0.49077425,0.41997182,0.46264194,0.43188614,0.42485816,0.57533326,0.61716257,0.17911884,0.39707889,0.20269139,0.41008489,0.36756658,0.27112857,0.07840331,0.76329445,0.63194659,0.40969144,-1,-1,-1,-1
0.05847177,0.00590192,0.03369005,0.08793874,0.04908139,0.83333333,0.25000000,0.50000000,0.46598258,0.48743258,0.63620270,0.57965823,0.46609587,0.50403415,0.52191596,0.46829412,0.58759922,0.62240626,0.13778205,0.40227541,0.14497152,0.37636851,0.33427493,0.23859530,0.13936671,0.77511047,0.57805075,0.43841775,-1,-1,-1,-1
0.05353815,0.01223999,0.01316392,0.09272726,0.04443467,0.83333333,0.50000000,0.00000000,0.45432446,0.52693852,0.64194874,0.59391420,0.46989625,0.53693288,0.50929709,0.47017964,0.55244974,0.58509759,0.12082797,0.39017511,0.13127401,0.32003579,0.31545483,0.19638217,0.23121637,0.74331696,0.53896818,0.42920922,-1,1,-1,-1
0.03981061,0.00529728,0.02131228,0.07286534,0.02967839,0.66666667,0.50000000,0.00000000,0.38031488,0.44799307,0.53699674,0.50050515,0.38715779,0.47329814,0.42222840,0.42032347,0.49403760,0.54306272,0.14585886,0.34901049,0.19049233,0.21614126,0.31756096,0.13879779,0.26219795,0.72845854,0.49570617,0.38087398,-1,1,-1,-1
0.08378934,0.06179538,0.10102785,0.07384415,0.01385451,0.83333333,0.50000000,0.00000000,0.27784144,0.33941626,0.37407072,0.35113621,0.28371570,0.38260338,0.27170037,0.32170519,0.40652067,0.45704525,0.17882103,0.33976294,0.23880127,0.20834490,0.35044376,0.09053329,0.24402420,0.75114258,0.47568798,0.38024657,-1,1,-1,-1
